driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,5718,ODYSSEY CAB CO,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5722,FLAMINGO TRANSIT CORP,2013,TOYOTA,XB GASOLINE N ,,,
Y,,5730,LATIN AMERICAN TAXI CORP,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,5731,"OMEAD & SHAYAN, INC",2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5734,EEMAHN CAB CO,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5749,BAGGIA INC,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5754,UBI ES MAI INC,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5757,ABRAHAM CAB CO,2009,FORD,CROWN VICTORIA FLEX_FUEL N ,,,
Y,,5782,LW CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5794,FNB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5797,H W FABER INC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5821,SUNRISE TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5822,LAMBHOR INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5827,LW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,5836,LW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,5852,CHICAGO MEDALLION FIVE LLC,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,5891,FELIX CAB CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5910,SODHI CAB INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5912,"MAA AMBA TRANSPORTATION, INC.",2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5914,MAHAL CAB CO.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5915,OLOSI ENTERPRISES INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,5934,"CHICAGO MEDALLION NINE, LLC",2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5940,GASH CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5945,9TH AVENUE TAXI CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5949,R & J CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5951,"GYPSUM, INC.",2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5963,TWINKY'S TAXI CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5965,MENDY CAB CO.,2013,FORD,C-MAX HYBRID N ,,,
Y,,5968,MADISON TAXI CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5969,MADISON TAXI CORP.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5979,GORSHI INC.,2013,TOYOTA,SIENNA GASOLINE N ,,,
Y,,5984,H.B.A.K.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5992,7TH AVENUE TAXI CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6007,BAZZ INC.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6016,ASHLAND AVENUE TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6019,FOUAZ INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6023,G & W TAXI CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6026,ABK OSTRICH CORP,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,6038,SECOND CITY TAXI CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6046,AARON CAB INC,2011,TOYOTA,XB GASOLINE N ,,,
Y,,6049,JALILPOUR INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6072,RW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6085,CHICAGO SUPERSONIC CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6086,5TH AVENUE TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6088,RW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6091,THOMAS BUGALSKI,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6135,MARA GABI CORP.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6137,"OLAN CAB CO., INC.",2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6141,SECOND CITY TAXI CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6162,BKA CANARY CORP,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,6177,WEST END TAXI CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6218,MODAN ENTERPRISE INC.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6227,R & J CAB CO,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6247,HAFSA INC,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6253,TORIA INC.,2011,FORD,FUSION HYBRID N ,,,
Y,,6254,EUPHORIA TAXI CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6255,EUPHORIA TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6269,LR CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6288,NTL CHICAGO TRANSPORTATION INC SURRENDER,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6289,RUSH HOUR CAB CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6319,AC MILAN CORP.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6320,CARMELO CAB CORP.,2012,VPG,MV-1 CNG Y ,,,
Y,,6325,TIMY'S CORP.,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,6339,CROCODILU INC.,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,6345,YORK AVENUE TAXI CORP.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6365,SVA ENTERPRISE INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6377,LAYA CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6384,CHICAGO MEDALLION EIGHT LLC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6400,HYMES TAXI CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6419,ARBAB INC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6427,L AND M PRESTIGE TAXI CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6428,CHICAGO MEDALLION FIVE LLC,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6430,CHICAGO MEDALLION EIGHT LLC.,2013,TOYOTA,CAMRY HYBRID N ,,,
